,symbol,period,pin,alpha,delta,mu,eps_b,eps_s
39071,PORT3,2022-12-29,0.1584980315190398,0.383399461652335,0.3476500432612224,513.1546835668539,500.1036434844784,544.4507478779785
46276,INEP3,2022-12-29,0.2619238915304667,0.3833335965660627,0.2608667655706127,951.3068914446428,459.3677866330436,568.2309449622032
48947,ENJU3,2022-12-29,0.2869462381072917,0.4166642072268531,0.2400022921643443,948.9929009801332,418.53903297623424,564.0477056441234
50163,DMMO3,2022-12-29,0.3082521279703221,0.316671307598904,0.2631691468576661,2060.77419608696,608.0845457750445,856.3867762348827
56774,LAND3,2022-12-29,0.2679805967985002,0.3495807125717304,7.872652251975881e-12,127.07278640825886,54.3942727596868,66.94999329209108
57133,AURA33,2022-12-29,0.2868045691773492,0.5166602858106956,0.322590844034471,3218.835436340184,1653.3398639428951,2482.1440887050544
61191,AALR3,2022-12-29,0.1664434991639192,0.3833384703959628,0.2173995326984585,615.7327666056318,545.1292409922573,636.9398909078566
61461,COCE5,2022-12-29,0.2928029690955425,0.233334025190763,0.2857159580273043,131.04993789996922,30.59984546682948,43.25514474347988
65276,RADL3,2022-12-29,0.1822846273730953,0.6000088568572157,0.111101367870476,6516.684081911298,6833.377341298652,10706.899608174954
72326,VLID3,2022-12-29,0.1774357895080771,0.4500001616739147,0.0740714289788427,656.9854546760282,602.0679645990882,768.4887470342715
79386,NGRD3,2022-12-29,0.262613386195589,0.3333343204188561,0.2000034718258209,963.8411653502092,381.2002654124393,520.9188637680813
81470,EVEN3,2022-12-29,0.1783422875468925,0.249995729752623,0.1333292606011795,2848.380573708183,1501.7539195059935,1778.9512939595695
84445,MEAL3,2022-12-29,0.2022165331593184,0.2833287489372931,0.2352833878909993,2296.3411878445863,1230.3322471890745,1336.4878488552372
86053,PARD3,2022-12-29,0.1883229657292807,0.4666641402331521,0.0714311809978903,921.8518407188492,717.1972486970201,1136.9555894316773
8319,MRVE3,2023-01-31,0.1527031304308322,0.3666708359933592,0.2727398963667531,7942.137721262671,7040.142215436049,9118.372722394914
10497,ESPA3,2023-01-31,0.1947824074480966,0.3666659506430287,0.3181914274175579,2245.100746470863,1432.6044275932911,1970.458204709336
16606,SHOW3,2023-01-31,0.2167955047327831,0.3666697250827544,0.0454544321769573,417.1309880406205,239.33404672863324,313.21699967441646
20567,DASA3,2023-01-31,0.1660542639293308,0.3833329463069713,0.0434774423929194,789.6898528792974,704.6210531610266,815.6480362149468
21980,AGXY3,2023-01-31,0.2321290887582695,0.5595893062734325,0.1260297899064668,126.4718055103064,144.13568931478147,89.97528607443769
31413,VULC3,2023-01-31,0.1606569403362542,0.30000426770286,0.3333314890187394,1145.2205456109125,842.7481890469745,952.2192532294484
35506,BOAS3,2023-01-31,0.1733225931574449,0.2999989649292601,0.2222264197291247,2592.0273265711467,1617.2510116247454,2091.607129769141
37810,PTBL3,2023-01-31,0.1836438644957604,0.4500030711191979,0.2222130233664644,1529.268263552182,1326.7309098512428,1732.4304948302397
39092,PORT3,2023-01-31,0.1555655033287422,0.3166726837062218,0.2105126120414374,491.2173098315021,379.95068140631474,464.4273648864091
39810,FRAS3,2023-01-31,0.1559566120825729,0.3166679881746989,0.3157896768357632,642.6132385471801,509.9606033000805,591.3626551068955
45069,LOGN3,2023-01-31,0.1622448995125134,0.43330506414863,0.1538599404985189,389.8878220162451,361.40078699821856,510.92651061719937
46297,INEP3,2023-01-31,0.231300079304392,0.2833313655150412,0.2941179106759152,735.1437947752902,335.0609187168155,357.16523702700204
47591,RCSL3,2023-01-31,0.320686516549558,0.4166646325470653,0.0400002549382563,491.19082422931154,212.65840737075143,220.8788422416296
53906,STBP3,2023-01-31,0.1566314655264305,0.416666423870499,0.3199845714567018,4588.651398668184,4806.8342350939765,5487.824464898679
57122,AURA33,2023-01-31,0.3071233115967255,0.5166634717628632,0.2257966211146426,3219.0820951744267,1483.1528348785162,2269.0212390269544
58806,GFSA3,2023-01-31,0.1728524044545297,0.0833074285066895,2.1262752153803414e-07,9941.406977159288,1614.6212777248645,2348.516481038311
61212,AALR3,2023-01-31,0.1543139422487296,0.3833198233974159,0.2174041964618732,642.9289341553133,628.5049787246941,722.0997155826883
61482,COCE5,2023-01-31,0.2730362365623772,0.3005625132552921,0.3337115130695534,113.4765846484963,38.63463850692976,52.17533395282016
64766,PRNR3,2023-01-31,0.2044917534815449,0.4166667493817901,0.0400006377086614,358.7276582133626,241.66131921719213,339.80236280420866
65297,RADL3,2023-01-31,0.1764189532365493,0.5833587821630333,0.1142762937915579,6091.618996200273,6707.470255445824,9881.887588921843
68881,HBRE3,2023-01-31,0.3729951238878963,0.2999825475180794,0.2778355471115555,121.56196097095864,22.588379439935885,38.71175826178232
76005,SEER3,2023-01-31,0.1597069172182688,0.3500007794155193,0.3333410090158231,1092.6902456537878,866.2266171495066,1145.9826253009242
81491,EVEN3,2023-01-31,0.1937453732417396,0.3000018525894189,0.2222311588147775,2707.018643956269,1523.6639706354297,1855.8641405644792
84466,MEAL3,2023-01-31,0.2220484242439238,0.3166711247782302,0.2105428437071541,2274.837647268782,1192.0845079071487,1331.7666597434095
86074,PARD3,2023-01-31,0.1701263311719967,0.35000055725003,0.0476224855299287,940.5541872557208,625.7932973136277,980.0124413565036
16138,AZEV4,2023-02-28,0.1668557280089057,0.0999995611575719,0.1666680406509901,736.2256424109885,157.21346759109787,210.3972176433357
16383,BBDC4,2023-02-28,0.1604297973257288,0.2833405212773519,0.4117993278757701,30703.06206300335,20294.36316354005,25231.937347898063
22000,AGXY3,2023-02-28,0.2061148639706347,0.4641826218853295,0.0718326705998289,123.73112521791953,134.77617963542102,86.43964878298723
27891,CIEL3,2023-02-28,0.1665902521902466,0.3833408743385986,0.3043242663443407,9540.844743006412,8724.011930248595,9573.032720733128
28906,DEXP3,2023-02-28,0.2030141075526633,0.6849102434452097,0.0,191.7918869237728,181.70626625547243,333.98325787594166
29151,ARML3,2023-02-28,0.1601419995904267,0.4500007584373655,0.2962922277404256,771.776710120827,812.6512051665097,1008.749629019566
35526,BOAS3,2023-02-28,0.1890276063360248,0.3000036622291436,0.3888901664100035,2092.8931299249743,1178.4027798759307,1515.3295858360802
39112,PORT3,2023-02-28,0.1843945065588482,0.4166648029572891,0.0800010011305458,381.4472457195624,309.79274022341264,393.2042454830344
42379,MDNE3,2023-02-28,0.1812669426368349,0.4000895105978523,0.333482430714641,225.9063472105968,159.27741485757556,248.9567191024507
45331,TFCO4,2023-02-28,0.2431420684213798,0.2666665395349173,0.3750016031502932,640.6189349351786,254.09274915423725,277.67568732151904
46317,INEP3,2023-02-28,0.2020094543376607,0.3833299707610211,0.2173939957724103,340.4500412411384,257.6274617063848,257.9004900959071
47611,RCSL3,2023-02-28,0.2429779432705928,0.3333331846383925,0.1499979256678103,601.6622123554034,375.1845523061251,249.66141264560417
53926,STBP3,2023-02-28,0.1603612833198687,0.4333360078919611,0.3461650690275416,4426.527191334362,4608.429735163027,5434.97229389394
59061,IRBR3,2023-02-28,0.2986544400924533,0.1666617709489384,0.399966756226751,26708.771931388765,5476.83153894986,4976.458198987343
61232,AALR3,2023-02-28,0.1641354343969088,0.3666644589039075,0.1363645950923266,759.8537581031447,635.7156067010827,783.1210397318208
62547,OIBR3,2023-02-28,0.2194500635486525,0.2999847836869492,0.2222418023897989,9031.263506515716,3396.256921392407,6240.096550010527
64786,PRNR3,2023-02-28,0.2541728165099743,0.383308069673353,0.0434821116228752,419.3460590637443,171.740757005029,299.91988218126573
67949,VITT3,2023-02-28,0.2065021973772103,0.3496892778745335,0.0958905071971105,272.64761820392494,153.39727122200375,212.9602192604284
69721,ONCO3,2023-02-28,0.1711498204037391,0.3666802054293676,0.3636414886510425,1848.704035526649,1544.6981603878787,1738.1775706749102
69870,ORVR3,2023-02-28,0.165031884462126,0.34999600710624,0.1428586151224679,902.473729148034,635.2257240767374,962.8585988371984
74621,TECN3,2023-02-28,0.2178690286745245,0.2833322244237619,0.2941189231103731,611.1884628120861,267.00961430351816,354.65350805887795
84486,MEAL3,2023-02-28,0.2530145615829963,0.2999945423163707,0.3333229372601854,2258.36837364422,919.474880007638,1080.7312614989232
84729,MATD3,2023-02-28,0.1680538172243944,0.4000025357708898,0.0,932.791568373282,754.4162298480496,1092.6999310375843
87289,PLPL3,2023-02-28,0.2159770605767182,0.4167518491432235,0.3601257700621973,365.2208791655473,240.71121989198613,311.81676142556853
16648,SHOW3,2023-03-31,0.1917767891471932,0.400272162376572,0.0423014338299351,220.2335112853907,149.2840012235701,222.22904205025196
19505,IGBR3,2023-03-31,0.2710878913638669,0.2832960597543218,0.352609987630877,42.933249318052106,14.296796659698416,18.407087656444222
22509,BPAN4,2023-03-31,0.1582557396906517,0.3833250677971649,0.260855959492643,2743.3042462483086,2327.6848740229707,3265.534977876957
28928,DEXP3,2023-03-31,0.1971149522219079,0.4328736131438913,0.0,239.79468352323528,151.7327843910639,271.06671487439746
34206,FHER3,2023-03-31,0.1736359913660314,0.3167035344772381,0.1578865427478482,156.3272742803495,98.6708107042336,136.9530721953877
35548,BOAS3,2023-03-31,0.1888471689449882,0.3833364744680497,0.3043548242382082,1221.8989498734736,911.2715496100128,1100.6342640796415
39852,FRAS3,2023-03-31,0.1525906623816122,0.3499984446703583,0.2380900886989091,599.465594902509,542.7137163837554,622.4733735356238
44058,MGLU3,2023-03-31,0.157486841118181,0.400002006466343,0.333351066892986,16663.116364089085,17140.39808538017,18517.095903247668
46339,INEP3,2023-03-31,0.2079235015969202,0.43319744942762,0.1154196577086794,336.4855793206127,289.4355926400161,265.84934680392007
47145,VVEO3,2023-03-31,0.1886756088751149,0.466665222499573,0.2500002160427698,310.5006394659018,272.114298023115,350.9698583146154
47633,RCSL3,2023-03-31,0.2126940304061879,0.1999981169385379,0.0833300178077574,1305.5613329307234,565.9057514510926,400.6155480453471
49010,ENJU3,2023-03-31,0.2574859675080414,0.300002014966731,0.3333316017760238,753.2282955800756,277.7196336654929,373.9116078390066
61010,BLAU3,2023-03-31,0.1841215883471132,0.2666653938070052,0.0624967429015221,1025.365673272595,491.63044511755015,719.9887987810499
61254,AALR3,2023-03-31,0.1927672127615644,0.299998269303898,0.0,980.4293432991028,520.9047055327851,710.783195693515
63786,POMO4,2023-03-31,0.2404089097028388,0.5000016529518938,0.3333413882863223,4014.577887376869,3302.3500464874296,3039.860147535915
64808,PRNR3,2023-03-31,0.1958800619844832,0.1499987138237749,0.3333317280616199,723.7601631446274,205.0760829197189,240.5933088642018
66993,ALUP11,2023-03-31,0.1684345690375433,0.4166728036908197,0.0,1855.2640202089087,1767.65734819552,2048.8497496361515
67971,VITT3,2023-03-31,0.3099305198891066,0.4999986391866197,0.033335369268803,400.854622893854,163.72479591599097,282.5313334733978
69892,ORVR3,2023-03-31,0.1655196839070009,0.3666355884836575,0.0908304607313723,767.3015806460194,560.7722229156606,857.5246982047677
70617,MODL3,2023-03-31,0.203759231205318,0.2999989890825313,0.2222279184908996,1754.3260522586804,1002.7213472860332,1053.913646746058
74643,TECN3,2023-03-31,0.2079550212145417,0.249998161704898,0.2666650293550662,606.7469723746608,252.1765192324524,325.55341045552404
75320,COGN3,2023-03-31,0.1738270810020537,0.250007058560955,0.3333448658349381,11661.556653859832,6262.148596134582,7594.631180347917
81533,EVEN3,2023-03-31,0.1652901355320874,0.2999956395377261,0.1666556323069824,1994.2683870700696,1336.775101596816,1684.4783345947812
84264,CSED3,2023-03-31,0.152019124505723,0.3666677080052286,0.1818283067627141,727.6999000179371,633.4398041653556,854.936714483418
87555,GMAT3,2023-03-31,0.1527018099852336,0.3833344125446911,0.2608567520777328,5088.183611997298,4839.2003047549,5983.426351820963
7201,CTSA4,2023-04-28,0.4857739146751236,0.0666665256435326,0.2499996551739819,936.4511783821978,17.129619337378166,48.95689956501674
13445,JHSF3,2023-04-28,0.1529122808890797,0.3000032536348774,0.3333369391825764,3054.3105132944333,2299.4108816836806,2776.630698262256
14791,SGPS3,2023-04-28,0.1779822833464877,0.0666671686334048,0.0,945.035410333276,83.4642709461935,207.5166382165168
27932,CIEL3,2023-04-28,0.2125074837703897,0.5833539563280367,0.2285659041049218,6998.774099856215,6770.919902015256,8358.641207873605
28702,BRPR3,2023-04-28,0.2994215519156384,0.2833352139082018,0.1176440397671344,1522.9564748091457,412.8762182760725,596.7526530338394
30610,MLAS3,2023-04-28,0.1588299592138687,0.3166608822535962,0.3157748448351258,2957.242862270104,2291.402870807794,2668.038741814164
33146,LUPA3,2023-04-28,0.19457351997347,0.3666639989637847,0.0454518186008654,971.6525679674012,533.9582723681846,940.8020398543288
44887,HBSA3,2023-04-28,0.1893540806231383,0.4833242380073006,0.3448256308877182,2481.4442021912305,2424.117288349452,2710.400008282075
45130,LOGN3,2023-04-28,0.2112961309551975,0.466666293890605,0.0358847562519171,284.5259837520822,198.45867851932437,297.1635705962112
46358,INEP3,2023-04-28,0.1877842221822584,0.4165616184499613,0.3200804077835736,276.47302138534087,284.75140047197124,213.3804745655713
46665,SOJA3,2023-04-28,0.1603239624777881,0.2999971450113344,0.0555557018504975,475.8453485673489,293.0829542795699,454.5634888805292
47164,VVEO3,2023-04-28,0.207845762192435,0.3833329880690614,0.0434755393188008,413.85751105934594,231.95433619314213,372.68390591665343
47652,RCSL3,2023-04-28,0.395392517847333,0.4999976666091116,0.0,1576.566245451465,481.400395213642,723.9831877952013
51517,JSLG3,2023-04-28,0.1513791618013566,0.4333361837508502,0.1923081950517292,702.3023408641463,738.6697416569745,967.3995498547496
61029,BLAU3,2023-04-28,0.174803442173806,0.2666623325229248,0.0624999456237176,1264.3814182623692,672.4002957216946,919.2483557877284
61273,AALR3,2023-04-28,0.1866596117504468,0.23333210962202,0.0714319402553095,1037.4454425307415,455.3907843336568,599.3888973961198
67012,ALUP11,2023-04-28,0.187000198996887,0.5500024936382255,0.0606003225385155,1650.21383104879,1737.4540021128826,2208.511207669361
67990,VITT3,2023-04-28,0.2857122028181871,0.4666659629994765,0.035713754656179,452.9769331804123,220.05314608218868,308.424539494186
69561,ONCO3,2023-04-28,0.1658476582061666,0.2166650442091584,0.2307894995328632,3321.030531900713,1702.711635556571,1916.3647357746136
74662,TECN3,2023-04-28,0.2184458467927894,0.2333340690079254,0.1428526502451072,612.7390216688914,221.68432524747203,289.8431629801562
76066,SEER3,2023-04-28,0.1807686558969874,0.3833380410814396,0.3043364592250368,753.0581878421103,668.160395511881,640.0990694977337
79468,NGRD3,2023-04-28,0.1820616560458529,0.2666638323392779,0.1249984751054809,415.604879915305,210.64319561814935,287.2622011641759
86540,VIVR3,2023-04-28,0.1685000625818172,0.083331723042833,0.1999939589045017,1901.5538678840169,337.82730438681006,444.1265936032544
88183,TGMA3,2023-04-28,0.1716743197261012,0.3833427809047922,0.1304357675655896,539.559802558995,411.173998408363,586.8079064044503
1245,AMAR3,2023-05-31,0.2163073081964248,0.2499962349416978,0.2666658816790032,2055.8954684375667,781.8266711057314,1080.2994889620704
