,symbol,period,pin,alpha,delta,mu,eps_b,eps_s
48908,ENJU3,2022-10-31,0.3464833228362677,0.3666600104402277,0.0454528334181067,2185.721165130093,737.9116349774758,773.6736077779053
56735,LAND3,2022-10-31,0.2409441954889291,0.3165449882004959,0.1580206645180973,126.87411873102803,61.75972458407159,64.76217910322299
57095,AURA33,2022-10-31,0.2866897037045772,0.4499951689930589,0.2963194072503136,3440.5039657868792,1615.6792971780412,2236.4096902790325
75218,COGN3,2022-10-31,0.2128183765316493,0.3333394823933957,0.3000103053468892,13303.50422718035,7088.282659364504,9314.541523347223
78016,PGMN3,2022-10-31,0.1812608497138433,0.3333328751619551,0.2500050485280576,2265.500393783529,1830.748207878333,1580.2684214428473
81431,EVEN3,2022-10-31,0.1811100475520915,0.3500078238409321,0.2380978814530533,1958.7121403251367,1363.4659858940513,1736.3175368823477
544,TPIS3,2022-11-30,0.2406875973755453,0.2000016931753433,0.1666628663450907,966.6357065670762,224.90106016625785,385.00547643199286
16564,SHOW3,2022-11-30,0.1768774408780542,0.24999872852379,0.2666657911508356,467.1353363626865,241.71761983793243,301.7486300622355
22425,BPAN4,2022-11-30,0.176457693535546,0.4500123518941182,0.1111164195447809,3065.726670326063,2826.6896881076214,3612.084324126631
47305,BRAP4,2022-11-30,0.1985214969482411,0.5166698647957362,0.0645138725556362,4758.172453109093,3940.316228686904,5984.84675362985
48926,ENJU3,2022-11-30,0.358013445740142,0.350004918076231,0.0952363775767028,1944.5405364222747,563.2862738339883,657.157405812543
56753,LAND3,2022-11-30,0.2565295874046819,0.3015394997935447,0.0,132.82767309124023,56.81376697550638,59.26666134659726
66088,ROMI3,2022-11-30,0.1751649532986043,0.4166731954443881,0.079997350125744,1143.9861139494565,886.1713753295758,1358.414388175801
78034,PGMN3,2022-11-30,0.1716520670894439,0.2333313875349544,0.2142788288550672,2640.849001726383,1527.1093094249895,1446.4765894899897
86032,PARD3,2022-11-30,0.1906892525987108,0.4000030398323773,0.0833319639881918,988.4953148481576,660.8139762844735,1017.3214211200929
89629,TCSA3,2022-11-30,0.2155210475806444,0.3667302127754101,0.1817878657216615,318.11268696921115,193.2943162467625,231.3441054757069
8298,MRVE3,2022-12-29,0.1758410041960521,0.4333249537124777,0.1922949273104237,9886.033301254556,8493.050830957187,11585.234259407154
16585,SHOW3,2022-12-29,0.1871905998789536,0.2833323430946032,0.1176485478911035,516.1744011849889,279.0335723057256,356.00089423926954
22446,BPAN4,2022-12-29,0.1893035349836643,0.4166760200700893,0.1200056058330167,3455.8548791825333,2540.896483676135,3625.814002167045
34143,FHER3,2022-12-29,0.1708221989962478,0.3333305099494129,0.1499953477240447,439.5370527175427,289.407877771552,421.7629224127389
56774,LAND3,2022-12-29,0.2679805967985002,0.3495807125717304,7.872652251975881e-12,127.07278640825886,54.3942727596868,66.94999329209108
65276,RADL3,2022-12-29,0.1822846273730953,0.6000088568572157,0.111101367870476,6516.684081911298,6833.377341298652,10706.899608174954
72326,VLID3,2022-12-29,0.1774357895080771,0.4500001616739147,0.0740714289788427,656.9854546760282,602.0679645990882,768.4887470342715
79386,NGRD3,2022-12-29,0.262613386195589,0.3333343204188561,0.2000034718258209,963.8411653502092,381.2002654124393,520.9188637680813
81470,EVEN3,2022-12-29,0.1783422875468925,0.249995729752623,0.1333292606011795,2848.380573708183,1501.7539195059935,1778.9512939595695
84445,MEAL3,2022-12-29,0.2022165331593184,0.2833287489372931,0.2352833878909993,2296.3411878445863,1230.3322471890745,1336.4878488552372
86053,PARD3,2022-12-29,0.1883229657292807,0.4666641402331521,0.0714311809978903,921.8518407188492,717.1972486970201,1136.9555894316773
16606,SHOW3,2023-01-31,0.2167955047327831,0.3666697250827544,0.0454544321769573,417.1309880406205,239.33404672863324,313.21699967441646
21980,AGXY3,2023-01-31,0.2321290887582695,0.5595893062734325,0.1260297899064668,126.4718055103064,144.13568931478147,89.97528607443769
35506,BOAS3,2023-01-31,0.1733225931574449,0.2999989649292601,0.2222264197291247,2592.0273265711467,1617.2510116247454,2091.607129769141
37810,PTBL3,2023-01-31,0.1836438644957604,0.4500030711191979,0.2222130233664644,1529.268263552182,1326.7309098512428,1732.4304948302397
47591,RCSL3,2023-01-31,0.320686516549558,0.4166646325470653,0.0400002549382563,491.19082422931154,212.65840737075143,220.8788422416296
57122,AURA33,2023-01-31,0.3071233115967255,0.5166634717628632,0.2257966211146426,3219.0820951744267,1483.1528348785162,2269.0212390269544
58806,GFSA3,2023-01-31,0.1728524044545297,0.0833074285066895,2.1262752153803414e-07,9941.406977159288,1614.6212777248645,2348.516481038311
