,symbol,period,pin,alpha,delta,mu,eps_b,eps_s
34875,MRFG3,2022-12-29,0.1603711919177423,0.4333315334226222,0.8076799069812657,7097.491265808162,8666.386352582522,7435.847680044594
51435,JSLG3,2022-12-29,0.1773449342194374,0.4499979961702738,0.7777752899197324,880.3893989607188,983.5246862923264,854.2166039154374
53399,CGRA4,2022-12-29,0.2499311876411109,0.2603241756749906,0.7436823075763901,56.90056017299581,21.06723187385474,23.386855513475968
60212,CEAB3,2022-12-29,0.1590174851200018,0.5166684819951372,0.7741934643531186,2088.37572387603,2991.1576642278937,2715.248643847753
69345,LAVV3,2022-12-29,0.1981828687616379,0.4499921642148844,0.7777761904484416,1228.2444677468034,1200.5862373704954,1035.5537523647015
70554,MODL3,2022-12-29,0.1657244496640361,0.1833318121339038,0.7272821571504118,2683.2035031131877,1354.5158031352985,1121.8475826174408
72083,APER3,2022-12-29,0.3604101786388613,0.2665881606623578,0.8749632976230625,87.49280268791983,21.31078838721852,20.08133278852593
72688,BRBI11,2022-12-29,0.1852045362572462,0.4644488480607945,0.7525788356425287,152.94514920470212,160.50571439753162,152.00907904768852
72933,ENEV3,2022-12-29,0.1511935562775273,0.4666612214451092,0.7142630102843903,8184.711240213002,12236.851140641367,9205.89780697492
586,TPIS3,2023-01-31,0.2178656266576052,0.2666675078335714,0.8749982505946796,380.06560007287874,175.24048336696046,188.60863125135847
2587,BRIT3,2023-01-31,0.2451753968751119,0.3833344441570161,0.9565222527668438,509.92113488252943,320.00830581838227,281.78869246019303
10982,PDGR3,2023-01-31,0.5866070142456761,0.1499772851283106,0.9999999743376796,11470.705893739352,649.8482565824414,562.5114230410193
20082,MELK3,2023-01-31,0.1856955630491466,0.1666636640813501,0.8999972349555655,1004.3305549091264,352.8151319722364,381.1963866285728
35736,HBOR3,2023-01-31,0.1731219622733518,0.3500002802388703,0.8095264268908934,1061.2943769601309,922.7398757319924,851.4232405376085
45864,AERI3,2023-01-31,0.236477621163232,0.4666681304609771,0.8214318074890518,2480.467677936388,1848.08306340534,1889.350128912591
